date,brand,campaign_id,adset_id,spend,revenue,impressions,clicks,outbound_clicks,video_p25,video_p50,video_p75,video_p100,frequency,roas,cpc,ctr,hook_rate,outbound_ctr,conversion_value
2026-04-09,Brand A,camp_000,adset_000,2852.5376,9301.4805,27968.1142,556.644,316.6727,4569.336,2856.6927,2289.9939,1231.8689,1.1556,3.2608,5.1245,0.0199,0.1634,0.0113,9301.4805
2026-04-10,Brand A,camp_000,adset_000,2857.6353,15802.251,27299.5069,573.2712,445.0248,3179.8211,2804.0805,2076.5949,1480.9558,1.0762,5.5298,4.9848,0.021,0.1165,0.0163,15802.251
2026-04-11,Brand A,camp_000,adset_000,3066.8272,15755.6624,33522.7662,474.881,213.2195,2699.3145,2267.5698,1787.5096,1130.6833,1.1866,5.1374,6.4581,0.0142,0.0805,0.0064,15755.6624
2026-04-12,Brand A,camp_000,adset_000,3222.4083,21120.7205,44262.1616,552.1771,302.6619,5584.4527,4639.199,3074.5617,1643.1256,1.1588,6.5543,5.8358,0.0125,0.1262,0.0068,21120.7205
2026-04-13,Brand A,camp_000,adset_000,3250.5235,10572.7076,37828.9018,994.1235,410.3634,3147.2334,2524.0838,2085.2812,1493.4044,1.2243,3.2526,3.2697,0.0263,0.0832,0.0108,10572.7076
2026-04-14,Brand A,camp_000,adset_000,3599.8804,10354.1577,36077.6012,913.5105,706.8857,4857.8503,3772.6356,3057.9718,2018.7415,1.1638,2.8763,3.9407,0.0253,0.1347,0.0196,10354.1577
2026-04-15,Brand A,camp_000,adset_000,3839.3764,33214.0358,50679.59,1304.9589,951.6581,8930.3008,5539.7887,4239.9519,2681.6542,1.1966,8.6509,2.9421,0.0257,0.1762,0.0188,33214.0358
2026-04-16,Brand A,camp_000,adset_000,2740.0144,7471.9606,22277.8187,663.8418,413.4251,1356.5043,836.8878,679.7563,512.4765,1.1801,2.727,4.1275,0.0298,0.0609,0.0186,7471.9606
2026-04-17,Brand A,camp_000,adset_000,2552.4508,13059.1664,20878.0884,418.4933,225.913,1703.1747,1155.5525,804.2633,546.9193,1.2334,5.1163,6.0991,0.02,0.0816,0.0108,13059.1664
2026-04-18,Brand A,camp_000,adset_000,2508.0703,10778.5479,28961.8001,513.3716,257.4766,3523.8012,2990.0891,2160.988,1680.7859,1.2148,4.2975,4.8855,0.0177,0.1217,0.0089,10778.5479
2026-04-19,Brand A,camp_000,adset_000,3362.7198,29270.543,27178.293,592.632,295.388,2049.3604,1803.4215,1292.2082,1004.9765,1.2679,8.7044,5.6742,0.0218,0.0754,0.0109,29270.543
2026-04-20,Brand A,camp_000,adset_000,3348.1785,20362.4832,39438.2313,857.5888,662.3954,3549.1022,2623.9718,1607.1012,1150.1703,1.3153,6.0817,3.9042,0.0217,0.09,0.0168,20362.4832
2026-04-21,Brand A,camp_000,adset_000,3932.7256,13986.7519,33224.4033,883.448,547.7167,2972.5206,2354.937,1781.5549,1158.1148,1.2366,3.5565,4.4516,0.0266,0.0895,0.0165,13986.7519
2026-04-22,Brand A,camp_000,adset_000,3036.7889,7163.4362,40063.8102,1013.3046,494.4952,7146.4839,4640.1578,2997.6001,2182.3526,1.3094,2.3589,2.9969,0.0253,0.1784,0.0123,7163.4362
2026-04-23,Brand A,camp_000,adset_000,2016.7096,8859.7689,22167.3487,607.6361,442.0797,3462.5352,2380.0809,1747.9333,1394.8699,1.2846,4.3932,3.3189,0.0274,0.1562,0.0199,8859.7689
2026-04-24,Brand A,camp_000,adset_000,2212.0925,7295.9974,27364.3478,309.707,221.8569,3105.552,1898.1073,1389.1486,1135.5651,1.281,3.2982,7.1425,0.0113,0.1135,0.0081,7295.9974
2026-04-25,Brand A,camp_000,adset_000,3060.6693,15806.5274,40308.3611,564.4659,380.0538,4462.8505,2760.1408,2077.9017,1219.5768,1.3089,5.1644,5.4222,0.014,0.1107,0.0094,15806.5274
2026-04-26,Brand A,camp_000,adset_000,4514.1022,25451.2101,41327.9628,751.2758,577.1932,4266.0335,3259.4839,2604.3614,2166.6901,1.321,5.6382,6.0086,0.0182,0.1032,0.014,25451.2101
2026-04-27,Brand A,camp_000,adset_000,2348.8767,14420.136,21837.6345,266.5167,185.56,1566.6065,1222.2481,1049.5167,588.5122,1.3516,6.1392,8.8132,0.0122,0.0717,0.0085,14420.136
2026-04-28,Brand A,camp_000,adset_000,4443.9766,18408.4105,44666.1313,1242.4482,982.1799,3302.9572,2345.018,1979.5972,1170.8063,1.4012,4.1423,3.5768,0.0278,0.0739,0.022,18408.4105
2026-04-29,Brand A,camp_000,adset_000,2945.7155,12426.1497,34325.566,552.167,408.1304,4530.0072,3108.1079,2713.2897,2185.0834,1.3836,4.2184,5.3348,0.0161,0.132,0.0119,12426.1497
2026-04-30,Brand A,camp_000,adset_000,2878.1175,9188.0139,34924.525,477.217,210.6456,2433.4612,2174.1508,1519.5326,1010.716,1.3772,3.1924,6.031,0.0137,0.0697,0.006,9188.0139
2026-05-01,Brand A,camp_000,adset_000,3824.8775,20931.0133,51799.5876,1036.148,778.1659,5023.9171,3338.31,2519.8245,1635.6101,1.44,5.4723,3.6914,0.02,0.097,0.015,20931.0133
2026-05-02,Brand A,camp_000,adset_000,3149.6209,16839.2771,27543.4984,272.949,182.8518,1675.5287,1151.0488,789.0454,630.7606,1.389,5.3464,11.5392,0.0099,0.0608,0.0066,16839.2771
2026-05-03,Brand A,camp_000,adset_000,2237.7718,19055.0618,29248.8929,494.4318,279.9579,4712.9271,3335.3626,2317.1828,1202.0265,1.4272,8.5152,4.5259,0.0169,0.1611,0.0096,19055.0618
2026-05-04,Brand A,camp_000,adset_000,2904.383,18400.505,26305.308,695.4111,296.721,2436.7073,2169.2808,1745.765,1048.1003,1.4591,6.3354,4.1765,0.0264,0.0926,0.0113,18400.505
2026-05-05,Brand A,camp_000,adset_000,3149.3565,10903.1164,39682.3165,842.9154,558.6477,6720.7901,5195.7593,4477.5523,2806.7884,1.4416,3.462,3.7363,0.0212,0.1694,0.0141,10903.1164
2026-05-06,Brand A,camp_000,adset_000,2713.6109,18043.7608,25198.6998,748.2071,468.5188,1972.4859,1443.8996,1030.0804,570.3185,1.4463,6.6494,3.6268,0.0297,0.0783,0.0186,18043.7608
2026-05-07,Brand A,camp_000,adset_000,4546.5783,15500.0545,42202.8311,878.694,643.4172,5701.8592,5023.1037,3358.6456,2279.0662,1.4809,3.4092,5.1742,0.0208,0.1351,0.0152,15500.0545
2026-05-08,Brand A,camp_000,adset_000,3278.8522,14814.6932,44574.4048,460.3031,360.3689,3469.9746,2761.3838,2105.408,1083.4566,1.5133,4.5183,7.1232,0.0103,0.0778,0.0081,14814.6932
2026-05-09,Brand A,camp_000,adset_000,2265.1253,11888.2027,30071.2301,452.4691,256.7852,3033.3829,2250.5774,1943.2931,1599.7699,1.5245,5.2484,5.0061,0.015,0.1009,0.0085,11888.2027
2026-05-10,Brand A,camp_000,adset_000,2459.4096,9555.0793,28771.8983,278.9572,128.4418,5120.8509,3266.0868,2490.5074,1766.8896,1.4848,3.8851,8.8164,0.0097,0.178,0.0045,9555.0793
2026-05-11,Brand A,camp_000,adset_000,3118.3099,7585.3051,42715.741,589.0303,263.2898,4116.1179,3239.9045,2023.6681,1435.64,1.5343,2.4325,5.294,0.0138,0.0964,0.0062,7585.3051
2026-05-12,Brand A,camp_000,adset_000,2947.3781,15124.3056,26286.8697,578.599,375.06,1613.231,1226.0178,1071.6145,906.3339,1.5111,5.1314,5.094,0.022,0.0614,0.0143,15124.3056
2026-05-13,Brand A,camp_000,adset_000,3008.0258,8308.5117,41976.8541,1121.6699,818.8356,4783.6955,4289.5765,3794.9066,2577.7735,1.5489,2.7621,2.6817,0.0267,0.114,0.0195,8308.5117
2026-05-14,Brand A,camp_000,adset_000,2687.3106,6853.5438,22771.9036,637.6018,417.017,2134.4109,1895.9085,1425.317,1019.8971,1.5506,2.5503,4.2147,0.028,0.0937,0.0183,6853.5438
2026-05-15,Brand A,camp_000,adset_000,4572.5381,29122.5424,51017.6729,801.5141,370.8939,6087.4939,5426.4732,4721.1642,2992.6568,1.519,6.369,5.7049,0.0157,0.1193,0.0073,29122.5424
2026-05-16,Brand A,camp_000,adset_000,3085.3576,20886.8635,35975.734,614.7784,401.5029,2009.4254,1467.0602,990.8932,804.8114,1.573,6.7697,5.0187,0.0171,0.0559,0.0112,20886.8635
2026-05-17,Brand A,camp_000,adset_000,2946.8281,13713.0614,33131.1585,376.9582,231.0479,2313.7891,1783.9317,1159.3634,836.6612,1.5074,4.6535,7.8174,0.0114,0.0698,0.007,13713.0614
2026-05-18,Brand A,camp_000,adset_000,4510.2532,18471.4836,56260.0345,939.516,729.5873,9121.8102,6904.091,5238.9062,2695.6006,1.5886,4.0954,4.8006,0.0167,0.1621,0.013,18471.4836
2026-05-19,Brand A,camp_000,adset_000,2867.7654,13859.9878,34531.6505,358.5758,285.1855,5609.8284,4804.6748,3658.1962,2005.0085,1.6809,4.833,7.9977,0.0104,0.1625,0.0083,13859.9878
2026-05-20,Brand A,camp_000,adset_000,3797.0575,21915.7684,52311.0821,1509.7721,625.8264,7698.7003,5287.9274,3911.2554,2676.8745,1.7219,5.7718,2.515,0.0289,0.1472,0.012,21915.7684
2026-05-21,Brand A,camp_000,adset_000,3277.737,11243.8456,40733.8825,1141.9091,491.9741,2717.7115,2260.1462,1470.7468,994.7379,1.6603,3.4304,2.8704,0.028,0.0667,0.0121,11243.8456
2026-05-22,Brand A,camp_000,adset_000,3534.5184,17610.7993,45012.6917,620.4253,450.8665,4868.6512,3339.1362,2087.3964,1340.5906,1.6733,4.9825,5.6969,0.0138,0.1082,0.01,17610.7993
2026-05-23,Brand A,camp_000,adset_000,2176.3724,10792.0853,22134.6242,180.0008,138.074,3220.4325,2837.0621,1962.1101,1279.8438,1.7244,4.9587,12.0909,0.0081,0.1455,0.0062,10792.0853
2026-05-24,Brand A,camp_000,adset_000,2482.4819,9351.927,25602.6672,513.0701,240.6479,2370.9001,1430.507,940.2478,752.4794,1.7468,3.7672,4.8385,0.02,0.0926,0.0094,9351.927
2026-05-25,Brand A,camp_000,adset_000,3080.766,12107.7343,42419.5042,922.2727,423.6135,6045.1271,3707.4324,2306.9721,1625.6242,1.7586,3.9301,3.3404,0.0217,0.1425,0.01,12107.7343
